City_ID,City,Country,Max Temp,Decription,Lat,Lng,Hotel Name
436,Vanimo,PG,78.19,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
437,Cavalcante,BR,80.62,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
438,Netrakona,BD,70.38,broken clouds,24.8833,90.7167,kurpar gas office
440,Laranjeiras,BR,85.62,overcast clouds,-10.8064,-37.17,Rota Para Hotel Fazenda Boa Luz Interditada
442,San Marcos,US,74.28,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
448,Gigmoto,PH,77.36,overcast clouds,13.7796,124.39,Cj's Travellers Inn
451,Hambantota,LK,78.71,overcast clouds,6.1241,81.1185,Bungalow 63
452,Makakilo City,US,75.18,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
456,Donghai,CN,74.95,broken clouds,22.9459,115.642,Huacheng Restaurant
458,Azare,NG,84.2,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
462,Bireun,ID,78.53,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
464,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
465,Kisangani,CD,70.54,moderate rain,0.5167,25.2,Grand Ramela Hotel
467,Monte Alegre,BR,85.84,broken clouds,-2.0078,-54.0692,Hotel Shekinah
470,Kathu,TH,76.82,broken clouds,7.9178,98.3332,Novotel Phuket Resort
475,Ca Mau,VN,78.4,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
480,Sao Felix Do Xingu,BR,87.24,broken clouds,-6.6447,-51.995,Rio Xingu Camping
486,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
487,San Rafael,AR,82.26,clear sky,-34.6177,-68.3301,Hotel San Rafael
488,Taoudenni,ML,82.71,clear sky,22.6783,-3.9836,
495,Gouyave,GD,83.17,scattered clouds,12.1646,-61.7296,Rumboat Retreat
496,Bouar,CF,77.5,broken clouds,5.934,15.596,Motel de l'UNITE
497,Morondava,MG,82.02,overcast clouds,-20.2833,44.2833,La Case Bambou
498,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
504,Saint-Leu,RE,79.63,broken clouds,-21.15,55.2833,La Caz Oceane
505,Maningrida,AU,79.84,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
509,Kasongo,CD,70.03,light rain,-4.45,26.6667,Guest Hôtel
510,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
512,Manta,EC,83.98,scattered clouds,-0.95,-80.7333,Balandra Hotel
516,Karratha,AU,86.79,clear sky,-20.7377,116.8463,ibis Styles Karratha
517,Xai-Xai,MZ,75.7,clear sky,-25.0519,33.6442,Complexo da Familia
520,Mount Isa,AU,73.17,thunderstorm with heavy rain,-20.7333,139.5,ibis Styles Mt Isa Verona
521,Arica,CL,83.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
524,Vao,NC,78.98,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
526,Kavaratti,IN,82.62,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
527,Sao Filipe,CV,77.31,clear sky,14.8961,-24.4956,Hotel Xaguate
529,Marsh Harbour,BS,80.28,clear sky,26.5412,-77.0636,Abaco Beach Resort
533,Niquero,CU,84.96,clear sky,20.0431,-77.5828,Islazul Niquero
534,Mitu,CO,78.44,light rain,1.1983,-70.1733,
535,Camocim,BR,81.18,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
536,Pihuamo,MX,89.33,scattered clouds,19.2499,-103.3828,Hotel Primavera
537,Atambua,ID,74.26,broken clouds,-9.1061,124.8925,Kost Alfa Flat
539,Cravinhos,BR,81.32,broken clouds,-21.3403,-47.7294,Ônix Inn Hotel Cravinhos
542,Yei,SS,78.44,overcast clouds,4.095,30.6779,City Link Hotel
543,Tete,MZ,75.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
550,Dhuwaran,IN,82.72,clear sky,22.2333,72.8,Amul parlour
557,Cabacao,PH,78.69,overcast clouds,13.3356,120.6588,La Preciosa Hijas Farm Resort
560,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
561,Jambi,ID,74.32,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
562,Kapit,MY,76.19,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
563,Moussoro,TD,86.0,clear sky,13.6408,16.4901,Hôtel Salama
564,Hualmay,PE,77.43,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
566,Virar,IN,84.29,clear sky,19.4667,72.8,Go Firne
570,Vredendal,ZA,71.26,clear sky,-31.6683,18.5012,Tharrakamma Guest House
576,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
578,Angoram,PG,73.67,overcast clouds,-4.0625,144.0661,
581,Mattru,SL,87.48,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
582,Pemangkat,ID,78.66,overcast clouds,1.1667,108.9667,Ramah Kost KITA
583,Orlandia,BR,82.54,broken clouds,-20.7203,-47.8867,Hotel Casa Grande
588,Avanigadda,IN,76.32,clear sky,16.0215,80.9181,AP Camping
590,Samarai,PG,81.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
592,Kongolo,CD,72.12,light rain,-5.3833,27.0,GUEST HOUSE OASIS
593,Unguia,CO,86.02,broken clouds,8.0434,-77.0945,Residencias El Golfo
594,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
597,Pauini,BR,80.22,heavy intensity rain,-7.7136,-66.9764,Casa do Kiwliks
600,Paramonga,PE,77.41,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
601,San Vicente,AR,76.46,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
604,Puntarenas,CR,89.06,clear sky,9.9763,-84.8384,Michael's Surfside Hotel
605,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
606,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
607,Chicama,PE,70.34,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
609,Acapulco,MX,83.59,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
610,Pompeu,BR,79.95,overcast clouds,-19.2244,-44.9353,
613,Algodones,MX,74.41,few clouds,20.3888,-105.4773,
614,Nan,TH,80.06,few clouds,18.8333,100.6667,สะเนียน2
616,Poya,NC,76.98,clear sky,-21.35,165.15,
617,Kindu,CD,71.31,light rain,-2.95,25.95,Résidence Okanda
618,Tautira,PF,80.29,broken clouds,-17.7333,-149.15,Pension Oaoa
624,Pangai,TO,81.79,light rain,-19.8,-174.35,Ha'apai Beach Resort
625,Tsabong,BW,82.92,clear sky,-26.0217,22.401,Springbok Motel
626,Dekar,BW,78.73,broken clouds,-21.5333,21.9333,
627,Rosa Zarate,EC,84.99,moderate rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
628,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
630,Inongo,CD,70.95,overcast clouds,-1.95,18.2667,Hotel Du Lac
631,Mogadishu,SO,78.94,broken clouds,2.0371,45.3438,Hotel Juba
633,Necochea,AR,74.89,few clouds,-38.5473,-58.7368,dyd -mar Hotel
634,Licheng,CN,70.29,few clouds,23.2955,113.8284,Xincheng Tourism Industry
641,Mbaiki,CF,77.43,overcast clouds,3.8678,17.9892,Motel MBM
642,Salalah,OM,75.34,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
648,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
652,Saint-Pierre,RE,79.29,clear sky,-21.3393,55.4781,Lindsey Hôtel
653,Eyl,SO,77.41,broken clouds,7.9803,49.8164,Amiin Hotel
661,Trinidad,BO,80.58,broken clouds,-14.8333,-64.9,Hotel Piesta
663,Gilbues,BR,85.15,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
